ID,long,lat,n,y,obs.prev
11,3314398.689,-175942.7273,58,50,0.862068966
12,3315783.503,-175195.4905,60,50,0.833333333
13,3324828.212,-195733.7198,60,13,0.216666667
14,3327302.844,-202624.4156,58,4,0.068965517
21,3286356.196,-186889.8614,61,52,0.852459016
22,3289500.972,-190119.5367,57,45,0.789473684
23,3286440.799,-178404.9509,60,50,0.833333333
24,3275276.567,-180580.9952,57,52,0.912280702
31,3363771.11,-215020.918,60,21,0.35
32,3340953.954,-169588.5065,57,41,0.719298246
33,3359245.972,-200247.6728,59,8,0.13559322
34,3368554.508,-200586.2511,60,6,0.1
41,3380166.244,-132999.6936,62,6,0.096774194
42,3369994.982,-148639.4443,60,17,0.283333333
43,3374079.294,-141017.6602,60,9,0.15
44,3372350.503,-160792.43,60,26,0.433333333
51,3385591.956,-204772.8638,60,2,0.033333333
52,3373178.72,-177865.9545,60,13,0.216666667
53,3386327.778,-200753.313,61,0,0
54,3397158.051,-178355.9512,60,4,0.066666667
61,3268630.794,-222737.6744,60,41,0.683333333
62,3270224.889,-223720.1138,64,49,0.765625
63,3260612.451,-203436.3459,62,52,0.838709677
64,3259753.064,-198643.8883,60,56,0.933333333
71,3259208.712,-193725.6938,65,49,0.753846154
73,3270541.036,-180260.2668,60,55,0.916666667
74,3267641.163,-178702.2905,60,51,0.85
81,3299383.916,-210483.2386,60,20,0.333333333
82,3296911.51,-209013.0267,60,34,0.566666667
83,3286032.256,-214787.0144,62,60,0.967741935
84,3298528.982,-199136.1597,60,36,0.6
91,3318297.098,-220124.5452,60,2,0.033333333
92,3323450.077,-229558.0522,60,8,0.133333333
93,3335962.388,-243665.257,60,6,0.1
94,3338159.834,-219626.6513,60,8,0.133333333
101,3266966.567,-237601.8241,58,4,0.068965517
102,3275019.419,-230541.6427,60,25,0.416666667
103,3274268.013,-231148.7313,60,7,0.116666667
104,3281208.783,-240163.9684,58,10,0.172413793
111,3303038.535,-213988.4027,61,7,0.114754098
112,3307110.602,-195186.8844,60,32,0.533333333
113,3314835.061,-236996.9409,65,26,0.4
114,3299123.428,-235602.2643,61,9,0.147540984
121,3260009.099,-275497.8401,59,54,0.915254237
122,3260781.656,-264417.1975,58,48,0.827586207
123,3268323.552,-266682.2846,62,44,0.709677419
124,3262720.842,-275210.3681,60,51,0.85
131,3286301.65,-254025.8512,60,1,0.016666667
132,3278324.495,-269584.7202,60,43,0.716666667
133,3286968.453,-256088.0228,61,2,0.032786885
134,3279832.874,-259187.458,59,21,0.355932203
141,3272700.634,-256989.326,60,37,0.616666667
142,3277644.333,-259755.6572,57,20,0.350877193
143,3275872.126,-261902.5777,59,37,0.627118644
144,3279102.618,-256852.292,60,51,0.85
151,3263237.364,-242039.9282,52,37,0.711538462
152,3260323.02,-255792.7886,72,46,0.638888889
153,3304043.267,-198417.5583,60,50,0.833333333
154,3259088.487,-254672.0177,57,47,0.824561404
161,3290704.335,-245109.0168,56,9,0.160714286
162,3277107.773,-247069.6983,61,4,0.06557377
163,3291780.795,-240112.7252,57,2,0.035087719
164,3283552.058,-240992.7747,61,5,0.081967213
171,3331469.533,-181232.4762,60,39,0.65
172,3331024.255,-185768.3957,60,46,0.766666667
173,3329499.178,-189228.587,59,34,0.576271186
174,3336458.872,-210948.808,60,17,0.283333333
181,3381972.96,-253913.3294,62,0,0
182,3381866.093,-238635.589,60,1,0.016666667
183,3378166.946,-235753.7621,60,0,0
184,3402206.39,-244523.0449,60,0,0
191,3426549.736,-232397.4469,60,2,0.033333333
192,3430373.561,-229242.8142,59,0,0
193,3420772.255,-236015.6533,60,0,0
194,3419987.452,-247184.4435,60,0,0
201,3348356.7,-219269.1043,55,0,0
202,3351924.489,-219193.3623,58,7,0.120689655
203,3351546.003,-220033.2088,52,0,0
204,3358584.734,-219404.9943,59,2,0.033898305
211,3364241.991,-209411.7649,60,9,0.15
212,3358251.889,-202631.0981,61,2,0.032786885
213,3354505.988,-216483.3792,55,1,0.018181818
214,3364962.228,-220323.9259,54,0,0
221,3259362.333,-243788.9119,61,41,0.672131148
222,3229686.783,-262155.4863,61,35,0.573770492
223,3226746.835,-277544.7013,62,30,0.483870968
224,3245764.657,-260521.0583,60,43,0.716666667
10051,3343258.267,-215221.4071,59,2,0.033898305
10052,3346931.81,-217114.9254,50,0,0
10053,3345150.698,-215221.4071,59,1,0.016949153
10054,3341365.836,-224466.4147,67,4,0.059701493
10055,3339584.724,-211545.8078,64,4,0.0625
10056,3348824.242,-176241.1773,60,0,0
20021,3328452.775,-165105.241,64,52,0.8125
20022,3309862.42,-157755.8008,70,65,0.928571429
20023,3326560.343,-159537.4637,65,62,0.953846154
20024,3311754.851,-153969.8079,67,54,0.805970149
20025,3306188.877,-156976.3272,68,51,0.75
20026,3315428.394,-170673.1441,69,64,0.927536232
30061,3389678.495,-213327.9077,61,0,0
30062,3385893.632,-228253.6613,52,3,0.057692308
30063,3389678.495,-207758.9001,61,2,0.032786885
30065,3376654.114,-211545.8078,63,2,0.031746032
30066,3371088.14,-205976.8514,62,0,0
40071,3270900.598,-231929.5952,67,28,0.417910448
40072,3268340.25,-240507.0759,57,15,0.263157895
40073,3256095.106,-233823.2881,66,39,0.590909091
40074,3261661.08,-237499.3392,58,29,0.5
40075,3280140.116,-237499.3392,61,49,0.803278689
40076,3270900.598,-230035.9228,56,37,0.660714286
50081,3219025.715,-276492.854,67,22,0.328358209
50082,3217133.284,-267244.9405,67,39,0.582089552
50083,3231838.589,-289530.0605,68,42,0.617647059
50084,3229267.108,-289530.0605,70,39,0.557142857
50085,3231938.776,-295101.8818,70,38,0.542857143
50086,3252421.563,-291424.4548,65,47,0.723076923
60041,3302515.333,-174459.3923,68,52,0.764705882
60042,3310975.615,-171341.3012,69,51,0.739130435
60045,3309862.42,-164771.1709,67,54,0.805970149
60046,3309862.42,-168891.4012,64,60,0.9375
70031,3391459.607,-204083.4422,68,0,0
70032,3423074.342,-220790.6334,54,2,0.037037037
70033,3391459.607,-202190.0509,67,0,0
70034,3413723.505,-228253.6613,59,2,0.033898305
70035,3400810.444,-221570.3384,55,0,0
70036,3404483.987,-217114.9254,66,1,0.015151515
80011,3361959.941,-248082.3549,62,4,0.064516129
80012,3367414.596,-235605.6061,47,1,0.021276596
80013,3346931.81,-241175.4691,64,1,0.015625
80014,3358063.759,-239393.0931,64,2,0.03125
80015,3363629.734,-239393.0931,60,2,0.033333333
80016,3348824.242,-261674.1805,64,0,0
